1:1:48:0\r\n
2:3:1:1\r\n
3:2:7:0\r\n
4:3:1:1\r\n
5:3:0:0\r\n
6:1:50:1\r\n
7:1:38:0\r\n
8:3:1:1\r\n
9:2:10:0\r\n
10:1:60:1\r\n
11:3:0:0\r\n
12:2:0:1\r\n
13:1:25:0\r\n
14:3:1:1\r\n
15:3:1:1\r\n
16:1:30:1\r\n
17:3:1:1\r\n
18:1:50:1\r\n
19:1:30:1\r\n
20:2:20:1\r\n
21:3:1:1\r\n
22:1:60:0\r\n
23:2:0:0\r\n
24:3:0:0\r\n
25:1:59:0\r\n
26:2:1:0\r\n
27:3:0:0\r\n
28:3:1:1\r\n
29:1:50:1\r\n
30:1:30:1\r\n
31:2:20:1\r\n
32:3:1:1\r\n
33:1:60:1\r\n
34:3:1:1\r\n
35:3:1:1\r\n
36:3:1:1\r\n
37:2:20:1\r\n
38:1:60:1\r\n
39:1:30:1\r\n
40:2:0:1\r\n
41:3:0:0\r\n
42:1:60:0\r\n
43:2:0:1\r\n
44:3:1:1\r\n
45:2:0:0\r\n
46:3:0:0\r\n
47:1:60:0\r\n
48:2:0:0\r\n
49:3:0:0\r\n
50:1:60:0\r\n
51:2:0:0\r\n
52:3:0:0\r\n
53:1:60:0\r\n
54:2:0:0\r\n
55:3:0:0\r\n
56:1:60:0\r\n
57:2:0:0\r\n
58:3:0:0\r\n
59:1:60:0\r\n
60:2:0:0\r\n
61:3:1:1\r\n
62:3:1:1\r\n
63:2:10:1\r\n
64:2:20:1\r\n
65:1:50:1\r\n
66:2:10:1\r\n
67:1:60:0\r\n
68:2:0:0\r\n
69:3:0:0\r\n
70:1:58:0\r\n
71:2:2:0\r\n
72:3:0:0\r\n
73:1:54:0\r\n
74:2:4:0\r\n
75:3:1:1\r\n
76:1:50:1\r\n
77:1:30:1\r\n
78:2:10:1\r\n
79:2:20:1\r\n
80:1:60:1\r\n
81:1:30:0\r\n
82:2:10:0\r\n
83:3:0:0\r\n
84:1:19:0\r\n
